,Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Mega ball,Megaplier
194,Friday April 2nd 1999,8,25,26,28,35,25,
195,Tuesday April 6th 1999,12,17,22,33,44,25,
196,Friday April 9th 1999,14,27,41,44,47,10,
197,Tuesday April 13th 1999,13,19,21,39,40,8,
198,Friday April 16th 1999,1,7,10,16,36,36,
199,Tuesday April 20th 1999,11,12,17,18,41,6,
200,Friday April 23rd 1999,3,12,27,38,39,17,
201,Tuesday April 27th 1999,1,8,10,38,42,36,
202,Friday April 30th 1999,1,23,25,29,39,5,
203,Tuesday May 4th 1999,5,20,32,42,46,26,
204,Friday May 7th 1999,12,21,30,35,49,15,
205,Tuesday May 11th 1999,11,22,29,35,41,30,
206,Friday May 14th 1999,1,6,25,37,42,27,
207,Tuesday May 18th 1999,5,11,14,27,41,18,
208,Friday May 21st 1999,1,15,26,37,41,13,
209,Tuesday May 25th 1999,12,35,36,38,39,30,
210,Friday May 28th 1999,5,6,9,27,50,25,
211,Tuesday June 1st 1999,1,3,13,37,42,23,
212,Friday June 4th 1999,2,5,24,33,39,12,
213,Tuesday June 8th 1999,18,31,45,48,49,15,
214,Friday June 11th 1999,5,7,13,17,43,12,
215,Tuesday June 15th 1999,1,6,19,27,42,25,
216,Friday June 18th 1999,1,13,34,37,50,5,
217,Tuesday June 22nd 1999,4,21,40,44,48,31,
218,Friday June 25th 1999,2,28,34,36,48,35,
219,Tuesday June 29th 1999,4,11,17,31,44,32,
220,Friday July 2nd 1999,6,26,39,40,47,8,
221,Tuesday July 6th 1999,7,20,23,26,33,15,
222,Friday July 9th 1999,16,20,22,34,36,29,
223,Tuesday July 13th 1999,1,22,33,40,43,2,
224,Friday July 16th 1999,2,6,7,17,18,1,
225,Tuesday July 20th 1999,9,25,27,31,32,24,
226,Friday July 23rd 1999,6,10,24,26,37,6,
227,Tuesday July 27th 1999,2,5,25,34,40,17,
228,Friday July 30th 1999,8,13,20,44,47,21,
229,Tuesday August 3rd 1999,4,40,42,43,48,8,
230,Friday August 6th 1999,16,18,20,21,50,20,
231,Tuesday August 10th 1999,13,27,32,43,50,2,
232,Friday August 13th 1999,2,19,30,45,46,31,
233,Tuesday August 17th 1999,11,12,28,29,45,35,
234,Friday August 20th 1999,5,15,27,44,47,7,
235,Tuesday August 24th 1999,9,13,21,23,41,17,
236,Friday August 27th 1999,5,23,25,47,49,24,
237,Tuesday August 31st 1999,3,21,26,27,40,15,
238,Friday September 3rd 1999,24,29,37,47,48,2,
239,Tuesday September 7th 1999,4,5,6,39,46,20,
240,Friday September 10th 1999,16,20,31,32,48,6,
241,Tuesday September 14th 1999,1,2,6,15,49,4,
242,Friday September 17th 1999,25,29,30,42,47,32,
243,Tuesday September 21st 1999,7,16,18,35,47,23,
244,Friday September 24th 1999,22,25,29,45,47,17,
245,Tuesday September 28th 1999,8,22,34,40,48,4,
246,Friday October 1st 1999,9,13,15,38,41,3,
247,Tuesday October 5th 1999,15,20,32,33,47,25,
248,Friday October 8th 1999,15,17,36,37,45,15,
249,Tuesday October 12th 1999,11,23,27,38,45,32,
250,Friday October 15th 1999,15,19,29,40,41,7,
251,Tuesday October 19th 1999,3,30,32,35,37,5,
252,Friday October 22nd 1999,3,5,33,36,40,29,
253,Tuesday October 26th 1999,24,32,37,47,48,19,
254,Friday October 29th 1999,17,20,23,29,33,20,
255,Tuesday November 2nd 1999,6,10,30,31,35,14,
256,Friday November 5th 1999,15,23,28,33,47,9,
257,Tuesday November 9th 1999,12,13,26,40,42,27,
258,Friday November 12th 1999,20,26,27,40,45,22,
259,Tuesday November 16th 1999,10,27,29,37,46,31,
260,Friday November 19th 1999,1,18,28,36,42,19,
261,Tuesday November 23rd 1999,1,5,9,13,19,3,
262,Friday November 26th 1999,17,21,22,33,38,34,
263,Tuesday November 30th 1999,1,4,5,22,47,23,
264,Friday December 3rd 1999,12,15,19,24,49,8,
265,Tuesday December 7th 1999,22,26,27,38,44,27,
266,Friday December 10th 1999,18,24,25,26,32,13,
267,Tuesday December 14th 1999,6,21,27,38,43,21,
268,Friday December 17th 1999,8,15,28,30,44,24,
269,Tuesday December 21st 1999,2,3,29,46,47,31,
270,Friday December 24th 1999,32,38,40,44,50,27,
271,Tuesday December 28th 1999,9,11,21,40,50,11,
272,Friday December 31st 1999,4,17,32,38,46,26,
273,Tuesday January 4th 2000,11,14,27,39,42,33,
274,Friday January 7th 2000,1,9,23,39,41,15,
275,Tuesday January 11th 2000,16,18,28,37,39,7,
276,Friday January 14th 2000,1,9,28,41,45,22,
277,Tuesday January 18th 2000,13,15,29,34,41,23,
278,Friday January 21st 2000,4,8,12,37,45,21,
279,Tuesday January 25th 2000,6,10,19,24,38,20,
280,Friday January 28th 2000,4,42,43,45,48,34,
281,Tuesday February 1st 2000,14,15,31,47,49,32,
282,Friday February 4th 2000,26,28,37,39,44,15,
283,Tuesday February 8th 2000,20,24,29,42,44,33,
284,Friday February 11th 2000,5,27,36,37,42,20,
285,Tuesday February 15th 2000,2,6,7,13,26,25,
286,Friday February 18th 2000,1,8,15,21,37,25,
287,Tuesday February 22nd 2000,33,35,36,40,43,11,
288,Friday February 25th 2000,2,14,45,48,49,10,
289,Tuesday February 29th 2000,2,5,22,36,40,19,
290,Friday March 3rd 2000,2,5,14,38,47,4,
291,Tuesday March 7th 2000,4,16,30,44,49,29,
292,Friday March 10th 2000,1,2,26,39,43,7,
293,Tuesday March 14th 2000,1,8,9,22,47,27,
294,Friday March 17th 2000,17,29,37,41,50,14,
295,Tuesday March 21st 2000,5,21,33,42,46,1,
296,Friday March 24th 2000,14,31,42,46,50,28,
297,Tuesday March 28th 2000,2,18,35,38,43,20,
298,Friday March 31st 2000,3,6,7,17,43,18,
299,Tuesday April 4th 2000,4,17,23,35,39,9,
300,Friday April 7th 2000,1,6,9,17,34,18,
301,Tuesday April 11th 2000,1,11,31,38,45,12,
302,Friday April 14th 2000,2,17,24,39,40,29,
303,Tuesday April 18th 2000,26,42,48,49,50,27,
304,Friday April 21st 2000,14,15,34,42,44,8,
305,Tuesday April 25th 2000,1,12,17,22,41,12,
306,Friday April 28th 2000,5,28,29,32,49,29,
307,Tuesday May 2nd 2000,3,33,36,42,43,13,
308,Friday May 5th 2000,6,8,16,30,32,26,
309,Tuesday May 9th 2000,1,2,12,33,37,4,
310,Friday May 12th 2000,12,27,28,40,48,25,
311,Tuesday May 16th 2000,9,11,34,48,50,13,
312,Friday May 19th 2000,16,24,37,38,40,26,
313,Tuesday May 23rd 2000,9,34,42,46,50,35,
314,Friday May 26th 2000,8,10,11,29,40,32,
315,Tuesday May 30th 2000,4,11,40,42,50,18,
316,Friday June 2nd 2000,5,24,26,39,44,3,
317,Tuesday June 6th 2000,4,30,36,37,42,35,
318,Friday June 9th 2000,6,7,25,34,45,2,
319,Tuesday June 13th 2000,4,5,6,17,23,2,
320,Friday June 16th 2000,11,12,24,33,35,4,
321,Tuesday June 20th 2000,1,16,22,26,38,1,
322,Friday June 23rd 2000,9,11,13,23,49,11,
323,Tuesday June 27th 2000,12,21,34,40,41,7,
324,Friday June 30th 2000,9,16,39,46,47,15,
325,Tuesday July 4th 2000,3,25,29,31,33,20,
326,Friday July 7th 2000,24,29,32,47,49,2,
327,Tuesday July 11th 2000,19,20,24,36,38,17,
328,Friday July 14th 2000,21,22,27,28,42,24,
329,Tuesday July 18th 2000,3,4,25,43,48,17,
330,Friday July 21st 2000,11,13,15,31,41,16,
331,Tuesday July 25th 2000,16,18,33,43,46,34,
332,Friday July 28th 2000,2,7,16,21,45,3,
333,Tuesday August 1st 2000,10,13,16,25,26,21,
334,Friday August 4th 2000,5,9,14,31,47,22,
335,Tuesday August 8th 2000,23,32,38,48,50,20,
336,Friday August 11th 2000,2,14,19,24,28,7,
337,Tuesday August 15th 2000,15,16,22,28,39,33,
338,Friday August 18th 2000,5,23,38,45,50,26,
339,Tuesday August 22nd 2000,6,16,18,34,41,2,
340,Friday August 25th 2000,34,35,37,47,48,12,
